1_169	GUT_GENOME027320_1_169
1_170	GUT_GENOME027320_1_170
1_171	GUT_GENOME027320_1_171
1_172	GUT_GENOME027320_1_172
1_173	GUT_GENOME027320_1_173
1_174	GUT_GENOME027320_1_174
1_175	GUT_GENOME027320_1_175
1_176	GUT_GENOME027320_1_176
1_177	GUT_GENOME027320_1_177
1_178	GUT_GENOME027320_1_178
1_179	GUT_GENOME027320_1_179
1_180	GUT_GENOME027320_1_180
1_181	GUT_GENOME027320_1_181
1_182	GUT_GENOME027320_1_182
1_183	GUT_GENOME027320_1_183
1_184	GUT_GENOME027320_1_184
1_185	GUT_GENOME027320_1_185
1_186	GUT_GENOME027320_1_186
1_187	GUT_GENOME027320_1_187
1_188	GUT_GENOME027320_1_188
1_189	GUT_GENOME027320_1_189
1_190	GUT_GENOME027320_1_190
1_191	GUT_GENOME027320_1_191
1_192	GUT_GENOME027320_1_192
1_193	GUT_GENOME027320_1_193
1_194	GUT_GENOME027320_1_194
1_195	GUT_GENOME027320_1_195
1_196	GUT_GENOME027320_1_196
1_197	GUT_GENOME027320_1_197
1_198	GUT_GENOME027320_1_198
1_199	GUT_GENOME027320_1_199
1_200	GUT_GENOME027320_1_200
1_201	GUT_GENOME027320_1_201
1_202	GUT_GENOME027320_1_202
1_203	GUT_GENOME027320_1_203
1_204	GUT_GENOME027320_1_204
1_205	GUT_GENOME027320_1_205
1_206	GUT_GENOME027320_1_206
1_207	GUT_GENOME027320_1_207
1_208	GUT_GENOME027320_1_208
1_209	GUT_GENOME027320_1_209
1_210	GUT_GENOME027320_1_210
1_211	GUT_GENOME027320_1_211
1_212	GUT_GENOME027320_1_212
2_1	GUT_GENOME027320_2_1
2_2	GUT_GENOME027320_2_2
2_3	GUT_GENOME027320_2_3
2_4	GUT_GENOME027320_2_4
2_5	GUT_GENOME027320_2_5
2_6	GUT_GENOME027320_2_6
2_7	GUT_GENOME027320_2_7
2_8	GUT_GENOME027320_2_8
2_9	GUT_GENOME027320_2_9
2_10	GUT_GENOME027320_2_10
2_11	GUT_GENOME027320_2_11
2_12	GUT_GENOME027320_2_12
2_13	GUT_GENOME027320_2_13
2_14	GUT_GENOME027320_2_14
2_15	GUT_GENOME027320_2_15
2_16	GUT_GENOME027320_2_16
2_17	GUT_GENOME027320_2_17
2_18	GUT_GENOME027320_2_18
2_19	GUT_GENOME027320_2_19
2_20	GUT_GENOME027320_2_20
2_21	GUT_GENOME027320_2_21
2_22	GUT_GENOME027320_2_22
2_23	GUT_GENOME027320_2_23
2_24	GUT_GENOME027320_2_24
2_25	GUT_GENOME027320_2_25
2_26	GUT_GENOME027320_2_26
2_27	GUT_GENOME027320_2_27
2_28	GUT_GENOME027320_2_28
2_29	GUT_GENOME027320_2_29
2_30	GUT_GENOME027320_2_30
2_31	GUT_GENOME027320_2_31
2_32	GUT_GENOME027320_2_32
2_33	GUT_GENOME027320_2_33
2_34	GUT_GENOME027320_2_34
2_35	GUT_GENOME027320_2_35
2_36	GUT_GENOME027320_2_36
2_37	GUT_GENOME027320_2_37
2_38	GUT_GENOME027320_2_38
2_39	GUT_GENOME027320_2_39
2_40	GUT_GENOME027320_2_40
2_41	GUT_GENOME027320_2_41
2_42	GUT_GENOME027320_2_42
2_43	GUT_GENOME027320_2_43
2_44	GUT_GENOME027320_2_44
2_45	GUT_GENOME027320_2_45
2_46	GUT_GENOME027320_2_46
2_47	GUT_GENOME027320_2_47
2_48	GUT_GENOME027320_2_48
2_49	GUT_GENOME027320_2_49
2_50	GUT_GENOME027320_2_50
2_51	GUT_GENOME027320_2_51
2_52	GUT_GENOME027320_2_52
2_53	GUT_GENOME027320_2_53
2_54	GUT_GENOME027320_2_54
2_55	GUT_GENOME027320_2_55
2_56	GUT_GENOME027320_2_56
2_57	GUT_GENOME027320_2_57
2_58	GUT_GENOME027320_2_58
2_59	GUT_GENOME027320_2_59
2_60	GUT_GENOME027320_2_60
2_61	GUT_GENOME027320_2_61
2_62	GUT_GENOME027320_2_62
2_63	GUT_GENOME027320_2_63
2_64	GUT_GENOME027320_2_64
2_65	GUT_GENOME027320_2_65
2_66	GUT_GENOME027320_2_66
2_67	GUT_GENOME027320_2_67
2_68	GUT_GENOME027320_2_68
2_69	GUT_GENOME027320_2_69
2_70	GUT_GENOME027320_2_70
2_71	GUT_GENOME027320_2_71
2_72	GUT_GENOME027320_2_72
2_73	GUT_GENOME027320_2_73
2_74	GUT_GENOME027320_2_74
2_75	GUT_GENOME027320_2_75
2_76	GUT_GENOME027320_2_76
2_77	GUT_GENOME027320_2_77
2_78	GUT_GENOME027320_2_78
2_79	GUT_GENOME027320_2_79
2_80	GUT_GENOME027320_2_80
2_81	GUT_GENOME027320_2_81
2_82	GUT_GENOME027320_2_82
2_83	GUT_GENOME027320_2_83
2_84	GUT_GENOME027320_2_84
2_85	GUT_GENOME027320_2_85
2_86	GUT_GENOME027320_2_86
2_87	GUT_GENOME027320_2_87
2_88	GUT_GENOME027320_2_88
2_89	GUT_GENOME027320_2_89
2_90	GUT_GENOME027320_2_90
2_91	GUT_GENOME027320_2_91
2_92	GUT_GENOME027320_2_92
2_93	GUT_GENOME027320_2_93
2_94	GUT_GENOME027320_2_94
2_95	GUT_GENOME027320_2_95
2_96	GUT_GENOME027320_2_96
2_97	GUT_GENOME027320_2_97
2_98	GUT_GENOME027320_2_98
2_99	GUT_GENOME027320_2_99
2_100	GUT_GENOME027320_2_100
2_101	GUT_GENOME027320_2_101
2_102	GUT_GENOME027320_2_102
2_103	GUT_GENOME027320_2_103
2_104	GUT_GENOME027320_2_104
2_105	GUT_GENOME027320_2_105
2_106	GUT_GENOME027320_2_106
2_107	GUT_GENOME027320_2_107
2_108	GUT_GENOME027320_2_108
2_109	GUT_GENOME027320_2_109
2_110	GUT_GENOME027320_2_110
2_111	GUT_GENOME027320_2_111
2_112	GUT_GENOME027320_2_112
2_113	GUT_GENOME027320_2_113
2_114	GUT_GENOME027320_2_114
2_115	GUT_GENOME027320_2_115
2_116	GUT_GENOME027320_2_116
2_117	GUT_GENOME027320_2_117
2_118	GUT_GENOME027320_2_118
2_119	GUT_GENOME027320_2_119
2_120	GUT_GENOME027320_2_120
2_121	GUT_GENOME027320_2_121
2_122	GUT_GENOME027320_2_122
2_123	GUT_GENOME027320_2_123
2_124	GUT_GENOME027320_2_124
2_125	GUT_GENOME027320_2_125
2_126	GUT_GENOME027320_2_126
2_127	GUT_GENOME027320_2_127
2_128	GUT_GENOME027320_2_128
2_129	GUT_GENOME027320_2_129
2_130	GUT_GENOME027320_2_130
2_131	GUT_GENOME027320_2_131
2_132	GUT_GENOME027320_2_132
2_133	GUT_GENOME027320_2_133
2_134	GUT_GENOME027320_2_134
2_135	GUT_GENOME027320_2_135
2_136	GUT_GENOME027320_2_136
2_137	GUT_GENOME027320_2_137
2_138	GUT_GENOME027320_2_138
2_139	GUT_GENOME027320_2_139
2_140	GUT_GENOME027320_2_140
2_141	GUT_GENOME027320_2_141
2_142	GUT_GENOME027320_2_142
2_143	GUT_GENOME027320_2_143
2_144	GUT_GENOME027320_2_144
2_145	GUT_GENOME027320_2_145
2_146	GUT_GENOME027320_2_146
2_147	GUT_GENOME027320_2_147
2_148	GUT_GENOME027320_2_148
2_149	GUT_GENOME027320_2_149
2_150	GUT_GENOME027320_2_150
2_151	GUT_GENOME027320_2_151
2_152	GUT_GENOME027320_2_152
2_153	GUT_GENOME027320_2_153
2_154	GUT_GENOME027320_2_154
2_155	GUT_GENOME027320_2_155
2_156	GUT_GENOME027320_2_156
2_157	GUT_GENOME027320_2_157
2_158	GUT_GENOME027320_2_158
2_159	GUT_GENOME027320_2_159
2_160	GUT_GENOME027320_2_160
2_161	GUT_GENOME027320_2_161
2_162	GUT_GENOME027320_2_162
2_163	GUT_GENOME027320_2_163
2_164	GUT_GENOME027320_2_164
2_165	GUT_GENOME027320_2_165
2_166	GUT_GENOME027320_2_166
2_167	GUT_GENOME027320_2_167
2_168	GUT_GENOME027320_2_168
2_169	GUT_GENOME027320_2_169
2_170	GUT_GENOME027320_2_170
2_171	GUT_GENOME027320_2_171
2_172	GUT_GENOME027320_2_172
2_173	GUT_GENOME027320_2_173
2_174	GUT_GENOME027320_2_174
2_175	GUT_GENOME027320_2_175
2_176	GUT_GENOME027320_2_176
2_177	GUT_GENOME027320_2_177
2_178	GUT_GENOME027320_2_178
2_179	GUT_GENOME027320_2_179
3_1	GUT_GENOME027320_3_1
3_2	GUT_GENOME027320_3_2
3_3	GUT_GENOME027320_3_3
3_4	GUT_GENOME027320_3_4
3_5	GUT_GENOME027320_3_5
3_6	GUT_GENOME027320_3_6
3_7	GUT_GENOME027320_3_7
3_8	GUT_GENOME027320_3_8
3_9	GUT_GENOME027320_3_9
3_10	GUT_GENOME027320_3_10
3_11	GUT_GENOME027320_3_11
3_12	GUT_GENOME027320_3_12
3_13	GUT_GENOME027320_3_13
3_14	GUT_GENOME027320_3_14
3_15	GUT_GENOME027320_3_15
3_16	GUT_GENOME027320_3_16
3_17	GUT_GENOME027320_3_17
3_18	GUT_GENOME027320_3_18
3_19	GUT_GENOME027320_3_19
3_20	GUT_GENOME027320_3_20
3_21	GUT_GENOME027320_3_21
3_22	GUT_GENOME027320_3_22
3_23	GUT_GENOME027320_3_23
3_24	GUT_GENOME027320_3_24
3_25	GUT_GENOME027320_3_25
3_26	GUT_GENOME027320_3_26
3_27	GUT_GENOME027320_3_27
3_28	GUT_GENOME027320_3_28
3_29	GUT_GENOME027320_3_29
3_30	GUT_GENOME027320_3_30
3_31	GUT_GENOME027320_3_31
3_32	GUT_GENOME027320_3_32
3_33	GUT_GENOME027320_3_33
3_34	GUT_GENOME027320_3_34
3_35	GUT_GENOME027320_3_35
3_36	GUT_GENOME027320_3_36
3_37	GUT_GENOME027320_3_37
3_38	GUT_GENOME027320_3_38
3_39	GUT_GENOME027320_3_39
3_40	GUT_GENOME027320_3_40
3_41	GUT_GENOME027320_3_41
3_42	GUT_GENOME027320_3_42
3_43	GUT_GENOME027320_3_43
3_44	GUT_GENOME027320_3_44
3_45	GUT_GENOME027320_3_45
3_46	GUT_GENOME027320_3_46
3_47	GUT_GENOME027320_3_47
3_48	GUT_GENOME027320_3_48
3_49	GUT_GENOME027320_3_49
3_50	GUT_GENOME027320_3_50
3_51	GUT_GENOME027320_3_51
3_52	GUT_GENOME027320_3_52
3_53	GUT_GENOME027320_3_53
3_54	GUT_GENOME027320_3_54
3_55	GUT_GENOME027320_3_55
3_56	GUT_GENOME027320_3_56
3_57	GUT_GENOME027320_3_57
3_58	GUT_GENOME027320_3_58
3_59	GUT_GENOME027320_3_59
3_60	GUT_GENOME027320_3_60
3_61	GUT_GENOME027320_3_61
3_62	GUT_GENOME027320_3_62
3_63	GUT_GENOME027320_3_63
3_64	GUT_GENOME027320_3_64
3_65	GUT_GENOME027320_3_65
3_66	GUT_GENOME027320_3_66
3_67	GUT_GENOME027320_3_67
